0004;0004;–;1;Ammoniumpikrat, trocken oder angefeuchtet mit weniger als 10Masse-% Wasser
0005;0007;–;1;Patronen für Waffen, mit Sprengladung
0009;0010;–;1;Munition, Brand, mit oder ohne Zerleger, Ausstoß- oder Treibladung
0012;0012;–;1;Patronen für Waffen mit inertem Geschoss oder Patronen für Handfeuerwaffen
0014;0014;–;1;Patronen für Waffen, Manöver oder Patronen für Handfeuerwaffen, Manöver oder Patronen für Werkzeuge, ohne Geschoss
0015;0016;–;1;Munition, Nebel, mit oder ohne Zerleger, Ausstoß- oder Treibladung
0018;0019;–;1;Munition, Augenreizstoff, mit Zerleger, Ausstoß- oder Treibladung
0020;0021;–;1;Munition, giftig, mit Zerleger, Ausstoß- oder Treibladung
0027;0027;–;1;Schwarzpulver, gekörnt oder in Mehlform
0028;0028;–;1;Schwarzpulver, gepresst oder als Pellets
0029;0030;–;1;Sprengkapseln, nicht elektrisch oder elektrisch
0033;0035;–;1;Bomben, mit Sprengladung
0037;0039;–;1;Bomben, Blitzlicht
0042;0042;–;1;Zündverstärker, ohne Detonator
0043;0043;–;1;Zerleger, mit Explosivstoff
0044;0044;–;1;Anzündhütchen
0048;0048;–;1;Sprengkörper
0049;0050;–;1;Patronen, Blitzlicht
0054;0054;–;1;Patronen, Signal
0055;0055;–;1;Treibladungshülsen, leer, mit Treibladungsanzünder336
0056;0056;–;1;Wasserbomben
0059;0059;–;1;Hohlladungen, ohne Zündmittel
0060;0060;–;1;Füllsprengkörper
0065;0065;–;1;Sprengschnur, biegsam
0066;0066;–;1;Anzündlitze
0070;0070;–;1;Schneidvorrichtungen, Kabel, mit Explosivstoff
0072;0072;–;1;Cyclotrimethylentrinitramin, Cyclonit, Hexogen, RDX, angefeuchtet mit mindestens 15Masse-% Wasser
0073;0073;–;1;Detonatoren für Munition
0074;0074;–;1;Diazodinitrophenol, angefeuchtet mit mindestens 40Masse-% Wasser oder einer Alkohol-/Wasser-Mischung
0075;0075;–;1;Diethylenglycoldinitrat, desensibilisiert, mit mindestens 25Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel
0076;0076;–;1;Dinitrophenol, trocken oder angefeuchtet mit weniger als 15Masse-% Wasser
0077;0077;–;1;Dinitrophenolate der Alkalimetalle, trocken oder angefeuchtet mit weniger als 15Masse-% Wasser
0078;0078;–;1;Dinitroresorcinol, trocken oder angefeuchtet mit weniger als 15Masse-% Wasser
0079;0079;–;1;Hexanitrodiphenylamin (Dipikrylamin), (Hexyl)
0081;0081;–;1;Sprengstoff, Typ A
0082;0082;–;1;Sprengstoff, Typ B
0083;0083;–;1;Sprengstoff, Typ C
0084;0084;–;1;Sprengstoff, Typ D
0092;0092;–;1;Leuchtkörper, Boden
0093;0093;–;1;Leuchtkörper, Luftfahrzeug
0094;0094;–;1;Blitzlichtpulver
0099;0099;–;1;Lockerungssprenggeräte mit Explosivstoff, für Erdölbohrungen, ohne Zündmittel
0101;0101;–;1;Stoppinen, nicht sprengkräftig
0102;0102;–;1;Sprengschnur, mit Metallmantel
0103;0103;–;1;Anzündschnur, rohrförmig, mit Metallmantel
0104;0104;–;1;Sprengschnur mit geringer Wirkung, mit Metallmantel
0105;0105;–;1;Anzündschnur (Sicherheitszündschnur)
0106;0107;–;1;Zünder, sprengkräftig
0110;0110;–;1;Granaten, Übung, Hand oder Gewehr
0113;0113;–;1;Guanylnitrosaminoguanylidenhydrazin, angefeuchtet mit mindestens 30Masse-% Wasser
0114;0114;–;1;Guanylnitrosaminoguanyltetrazen (Tetracen), angefeuchtet mit mindestens 30Masse-% Wasser oder einer Alkohol/Wasser-Mischung
0118;0118;–;1;Hexolit (Hexotol) trocken oder angefeuchtet mit weniger als 15Masse-% Wasser
0121;0121;–;1;Anzünder
0124;0124;–;1;Perforationshohlladungsträger, geladen, für Erdölbohrlöcher, ohne Zündmittel
0129;0129;–;1;Bleiazid, angefeuchtet, mit mindestens 20Masse-% Wasser oder einer Alkohol/Wasser-Mischung
0130;0130;–;1;Bleistyphnat (Bleitrinitroresorcinat) angefeuchtet mit mindestens 20Masse-% Wasser oder einer Alkohol/Wasser-Mischung
0131;0131;–;1;Anzünder, Anzündschnur
0132;0132;–;1;Deflagrierende Metallsalze aromatischer Nitroverbindungen
0133;0133;–;1;Mannitolhexanitrat (Nitromannitol), angefeuchtet mit mindestens 40Masse-% Wasser oder einer Alkohol/Wasser-Mischung
0135;0135;–;1;Quecksilberfulminat, angefeuchtet mit mindestens 20Masse-% Wasser oder einer Alkohol/Wasser-Mischung
0136;0138;–;1;Minen, mit Sprengladung
0143;0143;–;1;Nitroglycerol (Nitroglycerin), desensibilisiert mit mindestens 40Masse-% nicht flüchtigem, wasserunlöslichem 336Phlegmatisierungsmittel
0144;0144;–;1;Nitroglycerol (Nitroglycerin) in alkoholischer Lösung, mit mehr als 1%, aber nicht mehr als 10% Nitroglycerol
0146;0146;–;1;Nitrostärke, trocken oder angefeuchtet mit weniger als 20Masse-% Wasser
0147;0147;–;1;Nitroharnstoff
0150;0150;–;1;Nitropenta (PETN), angefeuchtet mit mindestens 25Masse-% Wasser oder desensibilisiert mit mindestens 15Masse-% Phlegmatisierungsmittel336
0151;0151;–;1;Pentolit, trocken oder angefeuchtet mit weniger als 15Masse-% Wasser
0153;0153;–;1;Trinitroanilin (Pikramid)
0154;0154;–;1;Trinitrophenol (Pikrinsäure), angefeuchtet mit weniger als 30Masse-% Wasser
0154;0154;–;4.1;Pikrinsäure, angefeuchtet mit mindestens 10Masse-% Wasser
0155;0155;–;1;Trinitrochlorbenzen (Pikrylchlorid)
0155;0155;–;4.1;Trinitrochlorbenzen (Pikrylchlorid), angefeuchtet mit mindestens 10Masse-% Wasser
0159;0159;–;1;Pulverrohmasse, angefeuchtet, mit mindestens 25Masse-% Wasser
0160;0161;–;1;Treibladungspulver
0167;0169;–;1;Geschosse, mit Sprengladung
0171;0171;–;1;Munition, Leucht, mit oder ohne Zerleger, Ausstoß- oder Treibladung
0173;0173;–;1;Auslösevorrichtungen mit Explosivstoff
0174;0174;–;1;Sprengnieten
0180;0182;–;1;Raketen, mit Sprengladung
0183;0183;–;1;Raketen, mit inertem Kopf
0186;0186;–;1;Raketenmotoren
0190;0190;–;1;Explosivstoff, Muster, außer Initialsprengstoff
0191;0191;–;1;Signalkörper, Hand
0192;0193;–;1;Knallkapseln, Eisenbahn
0194;0195;–;1;Signalkörper, Seenot
0196;0197;–;1;Signalkörper, Rauch
0204;0204;–;1;Falllote mit Explosivstoff
0207;0207;–;1;Tetranitroanilin
0208;0208;–;1;Trinitrophenylmethylnitramin (Tetryl)
0209;0209;–;1;Trinitrotoluol (TNT), trocken oder angefeuchtet mit weniger als 30Masse-% Wasser
0209;0209;–;4.1;Trinitrotoluol (TNT), angefeuchtet mit mindestens 10Masse-% Wasser
0212;0212;–;1;Leuchtspurkörper für Munition
0213;0213;–;1;Trinitroanisol
0214;0214;–;1;Trinitrobenzen, trocken oder angefeuchtet mit weniger als 30Masse-% Wasser
0214;0214;–;4.1;Trinitrobenzen, angefeuchtet mit mindestens 10Masse-% Wasser
0215;0215;–;1;Trinitrobenzoesäure, trocken oder angefeuchtet mit weniger als 30Masse-% Wasser
0215;0215;–;4.1;Trinitrobenzoesäure, angefeuchtet mit mindestens 10Masse-% Wasser
0216;0216;–;1;Trinitrometakresol
0217;0217;–;1;Trinitronaphthalin
0218;0218;–;1;Trinitrophenethol
0219;0219;–;1;Trinitroresorcinol (Styphninsäure), trocken oder angefeuchtet mit mindestens 20Masse-% Wasser oder einer Alkohol-/Wasser-Mischung
